transcription,path_to_audio,speaker_id,native_language,gender,sew_large_transcriptions
author of the danger trail philip steels etc,data/l2arctic/ABA/wav/arctic_a0001.wav,ABA,Arabic,M,author of the danger trial flipstail's extra
not at this particular case tom apologized whittemore,data/l2arctic/ABA/wav/arctic_a0002.wav,ABA,Arabic,M,not at this particular case tom obliged with more
for the twentieth time that evening the two men shook hands,data/l2arctic/ABA/wav/arctic_a0003.wav,ABA,Arabic,M,for that winter time that evening the two men shook hands
lord but im glad to see you again phil,data/l2arctic/ABA/wav/arctic_a0004.wav,ABA,Arabic,M,lord but i am glad to see you again fell
will we ever forget it,data/l2arctic/ABA/wav/arctic_a0005.wav,ABA,Arabic,M,or will we ever forget it
god bless em i hope ill go on seeing them forever,data/l2arctic/ABA/wav/arctic_a0006.wav,ABA,Arabic,M,god bless them i hope i'll go on seeing them for ever
and you always want to see it in the superlative degree,data/l2arctic/ABA/wav/arctic_a0007.wav,ABA,Arabic,M,and you always want to see it in the possibility of degree
gad your letter came just in time,data/l2arctic/ABA/wav/arctic_a0008.wav,ABA,Arabic,M,gad your letter came just in time
he turned sharply and faced gregson across the table,data/l2arctic/ABA/wav/arctic_a0009.wav,ABA,Arabic,M,he turned sharply and faced grandson across the table
im playing a single hand in what looks like a losing game,data/l2arctic/ABA/wav/arctic_a0010.wav,ABA,Arabic,M,i am playing a single hand in what looks like a losing game
if i ever needed a fighter in my life i need one now,data/l2arctic/ABA/wav/arctic_a0011.wav,ABA,Arabic,M,if i ever needed a fighter in my life i need one now
gregson shoved back his chair and rose to his feet,data/l2arctic/ABA/wav/arctic_a0012.wav,ABA,Arabic,M,dixon shoved back his chair and rose to his feet
he was a head shorter than his companion of almost delicate physique,data/l2arctic/ABA/wav/arctic_a0013.wav,ABA,Arabic,M,he was a head shorter than his companion of almost delicate physic
now youre coming down to business phil he exclaimed,data/l2arctic/ABA/wav/arctic_a0014.wav,ABA,Arabic,M,now you're coming down to business philly he exclaimed
its the aurora borealis,data/l2arctic/ABA/wav/arctic_a0015.wav,ABA,Arabic,M,it'll the aurora prolius
theres fort churchill a rifle shot beyond the ridge asleep,data/l2arctic/ABA/wav/arctic_a0016.wav,ABA,Arabic,M,there is forth a cheer chill a ruffled shot beyond the ridge asleep
there was a change now,data/l2arctic/ABA/wav/arctic_a0018.wav,ABA,Arabic,M,there was a change in her
i followed the line of the proposed railroad looking for chances,data/l2arctic/ABA/wav/arctic_a0019.wav,ABA,Arabic,M,i followed the lion over the proposed railroad looking for chances
clubs and balls and cities grew to be only memories,data/l2arctic/ABA/wav/arctic_a0020.wav,ABA,Arabic,M,clubs and poles and cities grow to be only memories
it fairly clubbed me into recognizing it,data/l2arctic/ABA/wav/arctic_a0021.wav,ABA,Arabic,M,it fairly clubbed me into recognizing it
hardly were our plans made public before we were met by powerful opposition,data/l2arctic/ABA/wav/arctic_a0022.wav,ABA,Arabic,M,hardly wear our plans made public before we were met by powerful opposition
a combination of canadian capital quickly organized and petitioned for the same privileges,data/l2arctic/ABA/wav/arctic_a0023.wav,ABA,Arabic,M,a combination of canadian capital quickly organized and petitioned for the same privileges
it was my reports from the north which chiefly induced people to buy,data/l2arctic/ABA/wav/arctic_a0024.wav,ABA,Arabic,M,it was my reports from the north which chiefly induced people to buy
i was about to do this when cooler judgment prevailed,data/l2arctic/ABA/wav/arctic_a0025.wav,ABA,Arabic,M,i was about to do this when cooler judgment prevailed
it occurred to me that there would have to be an accounting,data/l2arctic/ABA/wav/arctic_a0026.wav,ABA,Arabic,M,it occurred to me that there would have to be an accounting
to my surprise he began to show actual enthusiasm in my favor,data/l2arctic/ABA/wav/arctic_a0027.wav,ABA,Arabic,M,to my surprise he began to show actual enthusiasm in my fever
robbery bribery fraud,data/l2arctic/ABA/wav/arctic_a0028.wav,ABA,Arabic,M,robbery bribery food
their forces were already moving into the north country,data/l2arctic/ABA/wav/arctic_a0029.wav,ABA,Arabic,M,their forces were already moving into the north country
i had faith in them,data/l2arctic/ABA/wav/arctic_a0030.wav,ABA,Arabic,M,i had faith in him
they were three hundred yards apart,data/l2arctic/ABA/wav/arctic_a0031.wav,ABA,Arabic,M,they were three hundred yards apart
since then some mysterious force has been fighting us at every step,data/l2arctic/ABA/wav/arctic_a0032.wav,ABA,Arabic,M,since then some monstrous force has been fighting us at every step
he unfolded a long typewritten letter and handed it to gregson,data/l2arctic/ABA/wav/arctic_a0033.wav,ABA,Arabic,M,he unfolded a long typewritten letter and handed it to grexton
he stopped and philip nodded at the horrified question in his eyes,data/l2arctic/ABA/wav/arctic_a0035.wav,ABA,Arabic,M,he stopped and the flip nodded at a horrified question in his eyes
she turned in at the hotel,data/l2arctic/ABA/wav/arctic_a0036.wav,ABA,Arabic,M,she turned it in at the hotel
