age,birthplace,filename,native_language,sex,path_to_audio,transcription,sewd_mid_transcriptions
27.0,"virginia, south africa",afrikaans1,afrikaans,female,data/speech_accent_archive/recordings/recordings/afrikaans1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,place call stella ask her to bring these things with her from the stol six spoons of fri snowpiece five thick slaps of blue cheese and maybe a snack for her brother he brother ba we also need a small plestic snack and a big dway frok for the kits she can scoop these things into fridrit bags and we will go meet the windstad drain station
40.0,"pretoria, south africa",afrikaans2,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow piese five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toyfrog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
43.0,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow pees five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
26.0,"pretoria, south africa",afrikaans4,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow pees five thick slaps of blue cheese and maybe a snap for her brother bob we also need a small plastic snake and a big toy frog for the kits she can scoop these things into three red bags and we will go meet her wednesday at the train station
19.0,"cape town, south africa",afrikaans5,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please school stella ask her to bring these things with her from the stole six spoons of fresh now piece five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake in the big toyfrog for the kids she can scoop these things into three red bags and we will go and meet her weddesday at the train station
41.0,"accra, ghana",akan1,akan,male,data/speech_accent_archive/recordings/recordings/akan1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pes call sthela ask her to bring these things with it from the stow six six pons of fresh snow piese five thix lafs of blue cheese and maybe a snuck for her brother bow yosa need a small pleced snak ind a big tory frocg for the cates she can scoop these things into three red bags and we'll goo me her wednesday and a trains ditio
19.0,"prishtina, kosovo",albanian1,albanian,male,data/speech_accent_archive/recordings/recordings/albanian1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow piece five thick slaps of blue cheese and maybe a snack for her brother bob we also need a small plastick snake and the big toy frog for the kits she can scoop these things into three red bags and we will meet we will go meet her wednesday at the train station
44.0,"tirana, albania",albanian3,albanian,male,data/speech_accent_archive/recordings/recordings/albanian3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stala ask her to bring these things with her from the store six spoons of fresh not piece five thick slaps of blue cheese and maybe a snacka for her brother bob ther'se only the smoke gostic's neg and the big toy frog for the kits she can scood these things into three red bags and we'll gown with her wonesday at the prin station
31.0,"vlore, albania",albanian5,albanian,male,data/speech_accent_archive/recordings/recordings/albanian5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,piese col stell a ask her to bring this things from a with her from the store six spoons of fresh snowpiece five thick slaps of blue cheese and maybe a snake for brotherbow we'll so ned the small plastic snake and the big totroke for the kits she can scob these things into three red bags and we will go meter wednesday at the train station
25.0,"prishtina, kosovo",albanian6,albanian,female,data/speech_accent_archive/recordings/recordings/albanian6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plese callastela ask her to bring these things with her ma with her from the store six spoons of fresh no piece ar five thick slabs of blue cheese and maybe a snacke for her brother bob we also need a small plassic snake and a big toy frog for her amforliquets she can scoop these things into three red bags and we will go meet her ones day at the train station
