age,birthplace,filename,native_language,sex,path_to_audio,transcription,s2t_small_transcriptions
27.0,"virginia, south africa",afrikaans1,afrikaans,female,data/speech_accent_archive/recordings/recordings/afrikaans1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow piece five thick slabs of blue cheese and maybe a snack for her bread or a brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into free rate bags and we will go me the windstad train station
40.0,"pretoria, south africa",afrikaans2,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and may be a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
43.0,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meat her wet bags and we will go meat her weddings
26.0,"pretoria, south africa",afrikaans4,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snap for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meat her wednesday at the train station
19.0,"cape town, south africa",afrikaans5,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the stall six spoons of fresh snow peas five thick slabs of blue cheese and make me a snap for her brother bog we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and you will go and meet her wednesday at the train station
41.0,"accra, ghana",akan1,akan,male,data/speech_accent_archive/recordings/recordings/akan1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,this costello ask her to bring these things without from the stall six six spoons of fresh snow piece five thick loves of blue cheese and maybe a smack for her brother about yes i need a small place of snake and a big toy fro for the cat's she can scoop these things into three red bags and will go me her wendsey at a transt she can scoop these things into three red bags and we'll go me her wensey at a transt at a transt dish they are the transtel i to cleansey i to threes and to three to three or the three or the three or the three or the three or the three or three or three or three or three or three or three or three red bags and we's cake and we's cake and we's cake and we's cake and we's cake and we's cake and we's cake and we' to bring these
19.0,"prishtina, kosovo",albanian1,albanian,male,data/speech_accent_archive/recordings/recordings/albanian1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow piece five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three eggs we will go meat and we will go meat and eat and we will go meat and eat as they will go meat and eat
44.0,"tirana, albania",albanian3,albanian,male,data/speech_accent_archive/recordings/recordings/albanian3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of rest not the piece five thick slabs of blue cheese and maybe a snack of her brother bob we'll often eat a small plastic snake and a big toy frog for the kids she can scoop these things in the three or eight bags and we'll go and meet her at wednesday at the prince station
31.0,"vlore, albania",albanian5,albanian,male,data/speech_accent_archive/recordings/recordings/albanian5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please go stella ask her to bring this things from a with her from the store six spoons of fresh note piece five thick slaps of blue cheese and maybe a snack for a brother bob builds on you the small plastic snake and a big tough rope for the kids she can scoop these things into three red bags and we will go meter when stay at the train station station station station station station
25.0,"prishtina, kosovo",albanian6,albanian,female,data/speech_accent_archive/recordings/recordings/albanian6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,these calls stella ask her to bring these things with her maw with her from the store six spoons of fresh snow piece a five thick slabs of blue cheese and maybe a snap for her brother bob we also need a small classic snake and a big toy frog for her own follicates she can scoop these things into three red bags and we will go meet her one day at the train station
