age,birthplace,filename,native_language,sex,path_to_audio,transcription,sewd_tiny_transcriptions
27.0,"virginia, south africa",afrikaans1,afrikaans,female,data/speech_accent_archive/recordings/recordings/afrikaans1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pliscold stella arskket to bring these things with her from the stor six poons of fri snow peece five thick slaps of blue chees and may be a sneck for her brother ar brother bok we also need ha small plastic snake and big way frok for the kits she can scroup these things into frerite baks and we will go me ther windste drain station
40.0,"pretoria, south africa",afrikaans2,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleace col stella askher to bring these things with her from the store si spoons of fresh snow peace five thick slabs of blue cheese and may be a snack for her brother bob we olso need a small plastic snake and a big toi frog for the kids she can scoup these things into three red bags and we will go meet her wensday at the trainstation
43.0,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please col stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and may be a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wensday at the train station
26.0,"pretoria, south africa",afrikaans4,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleace coll stella ask her to bring these things with her from the store si spoons of fresh snow peas five thick slaps of blue cheese and may be a snap for her brother bob we also need a small plastic snake ind a big toyfrog for the kits she can schoup these things into three rat bags and we will go meet her whensday at the trainsdation
19.0,"cape town, south africa",afrikaans5,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plea scol stella ask her to bring these things with her from the stoe six spoons of fresh now peece five thick slabs of bluechees and may be a snack for her brother bob we also need a small plasic snake in the big toy frog for the kids she can scoupe these things into three red bags and me will gir meet her wenstay at the tran station
41.0,"accra, ghana",akan1,akan,male,data/speech_accent_archive/recordings/recordings/akan1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,tes coustella ask ha to bring these things withere from the stall six six pons of fresh nopese fi thix laps of bluecheis and may be a snuck for her brother bo yu saneed a small plasses nakein a big toy fro for the cates she can scoop these things into three red bis and weill gol me the winezay and a transtisi
19.0,"prishtina, kosovo",albanian1,albanian,male,data/speech_accent_archive/recordings/recordings/albanian1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring this things with her from the store sicx spoons of fresh snow piece five thick slaps of blue cheese and may be a snack for her brother bob we also need a small plastic snake and the big toy frog for the kits she can scoop this thinks into three red bags and we will meet we will go meet her whenseday at the trainstation
44.0,"tirana, albania",albanian3,albanian,male,data/speech_accent_archive/recordings/recordings/albanian3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please col stala ask hor to bring this things with her from the stor six spoons for frest snop piece five thigs laps of bluchise and may be a sneck ofor her brather bob tothany the smoll gustic's nage and a bigthoy frok for the kits she cas scoo dis things into threeer ed bags and willd gon met her t whence they at the prenstation
31.0,"vlore, albania",albanian5,albanian,male,data/speech_accent_archive/recordings/recordings/albanian5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleese cold stell a ask her to bring this things from with her from the store six spoonts of firt snow piece five thiks laps of bluu cheese and may be a snack for brather bow weill so neet te small plastic snake and the vigtothro for the kids she can scoob thi tinks into three red vags and we will go meter when e day at the trainstish
25.0,"prishtina, kosovo",albanian6,albanian,female,data/speech_accent_archive/recordings/recordings/albanian6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,beast call stela ask her to bring these things with her maw with her from the sthor six spoons of fresh no peece are five thick slabs of blue cheese and may be a snact for her brother bob we all so need a small plasic snake and a big toyfrog for her on forlicets she can schoop these things into three red bags and we will go meet her ones they ar the trainstation
45.0,"prishtina, kosovo",albanian7,albanian,female,data/speech_accent_archive/recordings/recordings/albanian7.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please calls thella ask her to bring these things with her from the store six spoons of fresh snow peece five thix lavs of blue cheese and maybe a snack for her brother bob we also need the smong plastic snake and the big toyfrog for the kids she can schoop these things into three red bags and we wall go meet her whence they at ettrainstation
43.0,"prishtina, kosovo",albanian8,albanian,female,data/speech_accent_archive/recordings/recordings/albanian8.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stala ask her to bring these things from her with her from the store six spoons of fresh snow peece five thick slabs of blue cheese and madea snack for her brother bob we'lls oneed a small plastic snake and a big toy frog for the kids she can scoob these things into three red bags and we will go meet her wet whence tay at the trainstation
22.0,"tirana, albania",albanian9,albanian,female,data/speech_accent_archive/recordings/recordings/albanian9.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring this things with her from the swore six spoons of fresh snow beas five thick labs of blue cheese and may be a snack for her brother bob we'll sen need a small blastic snake and a big toy frog for the kids she can scroove this things into three red bags and we will go meet her whenesday at the trainstation
39.0,"ouarzazat, morocco",amazigh2,amazigh,male,data/speech_accent_archive/recordings/recordings/amazigh2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,polise call stilla ask her to bring distanks with her from the story six poons of frace snowpiese five thicks laps of bluchise and may be a snack for her brather balk we also neethe smorpasic nak and the big toyfrog for the kits she can scoupde thanks into threethri bags and wo will gow meto her when they ad te trinstation
24.0,"addis ababa, ethiopia",amharic11,amharic,female,data/speech_accent_archive/recordings/recordings/amharic11.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please co stela ask or to bring this things with her from the store six spoons of fresh snow keys five tick slip of blue cheese and may be i snuck for her brather bop we also need a small plastic snuck in a big toyfrog from the keats she can ascoop distincs into three red baks and we alse we we'll go meet her one day at the transtation
26.0,"addis ababa, ethiopia",amharic12,amharic,female,data/speech_accent_archive/recordings/recordings/amharic12.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please coles tela ask her to bring thes things with her from the toor six a spoon of fresh snow piece five sticks srokes of blue cheese and may be a snot for the brother but her brother bout we also need u more plasticand snack and a beig toy frog for the kits she can escope dhis tincs into three aradebas and we will go mit her whenis they ad the transtation
36.0,"werder, ethiopia",amharic16,amharic,male,data/speech_accent_archive/recordings/recordings/amharic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plise calld tela ask ar to bring this tinges with her from the stor six spunts of fresh snopac five ticks lups of bougies and maybe is night for her brother bab we also need a small plastic snack and a bigtofrog for ther kits she can scoop distinges into three rat bogs and we will go meet her whenstay a dhe tran stetion
21.0,"addis ababa, ethiopia",amharic17,amharic,male,data/speech_accent_archive/recordings/recordings/amharic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleace call stell on usker to bring the sthing was her from the stor sicins of fresh snowpeyse fifetick sleps of blue cheese a maby a snagg for her brother bob we also need a small plastic snake and a big toy frog for the kits she can scoop distincts into thre ret bags and will go to meet her one state at the transtation
20.0,"addis ababa, ethiopia",amharic18,amharic,female,data/speech_accent_archive/recordings/recordings/amharic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call tella askher to bring these things with her from the store six poons of fresh snow peas five thick slabes of blue cheese and may be a snack for her brother bog we also need a small plasic snake and a big toy frog for the kids she can scoup these things intoh three red bags and we will go meet her onese day at the trainstation
19.0,"tefki, ethiopia",amharic19,amharic,female,data/speech_accent_archive/recordings/recordings/amharic19.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please gollstela ask her to bring these things with her from the store six spoongs a fresh snow peas five thick slaps of blue cheese and may be a smack for brother bob we also need a small clastic smnake and a big toyfrog for the kits she can scoup these things into three redbags and weill go neet her one's day at the trankstation
27.0,"addis ababa, ethiopia",amharic3,amharic,male,data/speech_accent_archive/recordings/recordings/amharic3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,blisk col seter ask her to bring this tinges with her from the store six punoff fresh snopis five ticks lip off bluuchis and maybe is nock for her briser bot we also nede a smoll plastic snack and big toth frog for her kits the scaniscove distincts intoh three rid backs and we will go miter whenis they ad the trainstation
31.0,"addis ababa, ethiopia",amharic5,amharic,male,data/speech_accent_archive/recordings/recordings/amharic5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plice cos stilla ask her to bring destings wis her from the stok six sponsol fresh snopies five stix labsels blue chis and may be a snack for her brother bop we also need as moreblastic sneck and a bik twi frog for tha kits she tanscopsisting thes into serade bugs and we'll go meet her wensday other tan stech
