age,birthplace,filename,native_language,sex,path_to_audio,transcription,sew_small_transcriptions
27.0,"virginia, south africa",afrikaans1,afrikaans,female,data/speech_accent_archive/recordings/recordings/afrikaans1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pescoll stayla usor to bring theese things wepper rom thestowr sixspoones of fresnow peese five fhikslapes of blu chees and maybe o snack for hee brap a brother bop we allso need a smaol plasticsnak an a bic towa frok for the kids she can scripp these things into frerad baks and we will go meet a weinstad trainstation
40.0,"pretoria, south africa",afrikaans2,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pease colld stela aus gor to bring these things with her from the store sic spoons of fresh snow peese five thigs slabs of blu cheeese and maybe snac for her brother bobwe also nead a small plastics snake and a big toy frob for the kids she can scoop these things into three red ags and we wlll go met her wensday at the transtation
43.0,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cols  tealaascer to bbring these things wither from the storesiks spoons of fresh snow peesefie thic slabs of bblu cheese and maybe a snack for her brother bobwe also need a smal plastic snakan a big toy frog for the kidsshe can scoop these things into three red bags and we will go meeat her wendsday at the trainstation
26.0,"pretoria, south africa",afrikaans4,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stala askher to bring these things wither from the store sikspooons of fresh sno peees five thi slaps of blu cheeesan maybe a sna for her brother bob we also meet a small plastic snat and a big toyefrog for the kidsshe can scoop these things into three rad bags and we will go meed her wens day at the trains dation
19.0,"cape town, south africa",afrikaans5,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please coole stalauscra to bring these things with her fromm the stooresicspiins of fresh na peesefive thikslbs of blacheesand madia snake for her brother bobwe olso nete a smal plasik snake an tebek twy from for the kids she can sfeepe these things into three read bagsand meu wll grmet her wenstar in the transtation
41.0,"accra, ghana",akan1,akan,male,data/speech_accent_archive/recordings/recordings/akan1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,eesclls thilaiscat to bring these things with af from the stowsic sixpoons of fresh snopeeasefive thiks luves of bluchees an mebieas muke for hi brother blusey needas mor plessets nak an a big torye frot for the casshe can scoop thease things into three red bags an bil goome ha wns ee and etranstish
19.0,"prishtina, kosovo",albanian1,albanian,male,data/speech_accent_archive/recordings/recordings/albanian1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please calle stallaask her to bring thes things with her from the stooresic spoons of ffress no peesfive thic slaps of blu chesand maybe a snak for her brother bobwe also need ur small plastic snakand the big toy frog for thei kitsshe can scop this things into three red bags and we willl meeat we will go meeat her wensday ad the trainstation
44.0,"tirana, albania",albanian3,albanian,male,data/speech_accent_archive/recordings/recordings/albanian3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas cold stallascor to bring thes things with her from the stre sikspoons for fresnolp  pease five theiekslapes of blo cheesand maybe s macgof for her brother bobboth an ny te smolk dus tigsnak nd the bitoye fhrowg for the pets sheco scop tes things into thereyaread bags an will gon beet her wnsdait at the ranstation
31.0,"vlore, albania",albanian5,albanian,male,data/speech_accent_archive/recordings/recordings/albanian5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,peas clove stalla uscor to bring thes sthings from mm with her from the stoure sixspoons o fresno peese five theigslaps o blu chees and maybe a snake fore brother balbilson eed a smallplastic snac and the big to rob for the kidshe con scop thes stings into three read bags and we will go meeter wen stay at the trainstashs
25.0,"prishtina, kosovo",albanian6,albanian,female,data/speech_accent_archive/recordings/recordings/albanian6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,these calls talla askor to bring these things with her mowith her fro the stor sixspoons of fresno peasen fie thixs labs of blu cheese and maybe a snake for her brother bob we all sane to small plassicsnake and a big toy frob for her fan forlicatsshe can scop these thaings into threee redbags and we wilgo meat her ones they at the transtation
