age,birthplace,filename,native_language,sex,path_to_audio,transcription,unispeechsat_base_transcriptions
27.0,"virginia, south africa",afrikaans1,afrikaans,female,data/speech_accent_archive/recordings/recordings/afrikaans1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stellar ask her to bring these things with her from the stoor six spoons of free snow piece five thick sleps of blue cheese and maybe a snack for her brother her brother bab we also need a small plactic snake and a beek to a frok for the kitts she can scroop these things into fregreate bags and we will go meet the winsday drain station
40.0,"pretoria, south africa",afrikaans2,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the storme six spoons of fresh snow peese five thick slabs of blue cheese and may be a snack for her brother bob we also need a small plastic snake and a big toyfrog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
43.0,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call tella ask her to bring these things with her from the store six spoons of fresh snow peese five thicx slabs of blue cheese and may be a snack for her brother bob we also need a small placstic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
26.0,"pretoria, south africa",afrikaans4,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow peeas five thick slaps of blue cheese and may be a snack for her brother bab we also need a small plastic snake and a big toyfrog for the kits she can scoop these things into three red bags and we will go and meet her wednesday at the train station
19.0,"cape town, south africa",afrikaans5,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,ple schoolstella asked her to bring these things with her from the sto six spoons of fresh nopies five thick slabs of ble chees and may be a snack for her brother bob we also need a small plasic snake in a big toy frog for the kids she can scooped these things into three red bags and we will go meet her wednesday at the train station
41.0,"accra, ghana",akan1,akan,male,data/speech_accent_archive/recordings/recordings/akan1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pece castela askete to bring these things with it from the stow six six pons of fresh snow piece five thicx laps of blue cheese and may be a snuck for head brather bo we say need a small blasced snake in a big tor fo for the cates she can scoup these things into three red bags and will gol me hei wans a at a transtation
19.0,"prishtina, kosovo",albanian1,albanian,male,data/speech_accent_archive/recordings/recordings/albanian1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow piece five thick slaps of blue cheese and may be a snack for her brother bab we also need a small plastic snake and the big toy frog for the kits she can scoop this things into three red bags and we will meet we will go meet her wednesday at the train station
44.0,"tirana, albania",albanian3,albanian,male,data/speech_accent_archive/recordings/recordings/albanian3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please calld stalla ask her to bring these things with her from the star six pouns of fresno piece five thix laps of bluchise and may be a snaco for her brather bab we also neat the smll blastic's negg and the big toy fro for lequits she can scold these things into three or ed bags and wi'll go with her at wenesday at the pran station
31.0,"vlore, albania",albanian5,albanian,male,data/speech_accent_archive/recordings/recordings/albanian5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stelask er to bring this things from with her from the store sixspoons of fresh snow piece five thik laps of blue cheese and may be a snak for a brather bob we'll so neet a small plast ic snake and thae big toi frok for the kids she can scub thise thingks into three red bags and we will go meter whene day at the train station
25.0,"prishtina, kosovo",albanian6,albanian,female,data/speech_accent_archive/recordings/recordings/albanian6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,thease callstela ask her to bring these things with her ma with her from the store six spoons of fresh snow piece ah five thick slabs of blue cheese and may be a snack for her brother bob we all soneet a small plasic snake and a big toyfrog for hr a forliquites she can scoop these things into three red bags and we will go meet her ones day at the transtation
