age,birthplace,filename,native_language,sex,path_to_audio,transcription,sewd_base_transcriptions
27.0,"virginia, south africa",afrikaans1,afrikaans,female,data/speech_accent_archive/recordings/recordings/afrikaans1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store sixpoons of fresh snow peese five thick slaps of blue cheese and maybe a snake for her brote a brate bug we also need a small plastic snake and a big tay frog for the kits she can scoop these things into frerate bags and we will go meet a windstad train station
40.0,"pretoria, south africa",afrikaans2,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow pease five thick slabs of blue cheese and maybe a snake for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
43.0,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and may be a snake for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
26.0,"pretoria, south africa",afrikaans4,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring these things with her from the store six spoons of fresh snow pease five thick slaps of blue cheese and maybe a snap for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go and meet her wednesday at the train station
19.0,"cape town, south africa",afrikaans5,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh notpeese five thick slabs of blue cheese and maybe a snake for her brother bobby we also need a small pastic snake an a big toy frog for the kids she can scoop these things into three red bags and we will go and meet her wednesday at the chain station
41.0,"accra, ghana",akan1,akan,male,data/speech_accent_archive/recordings/recordings/akan1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pe's call stella ask her to bring these things with it from the stall six sixpons of fresh snowpeese fie thix slaps of blue cheese and maybe a snak for her brother bol we alsa need a small placid snake in a big tolly frot for the kates she can scoop these things into three red bags and we'll goop me here wednesday at the train station
19.0,"prishtina, kosovo",albanian1,albanian,male,data/speech_accent_archive/recordings/recordings/albanian1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snowpeese five thick slaps of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will meet we will go meet her wednesday at the train station
44.0,"tirana, albania",albanian3,albanian,male,data/speech_accent_archive/recordings/recordings/albanian3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please coll stavar ask her to bring these things with her from the store sixspoons of fresh not apeese five thick slaps of blue cheese and maybe a snack ofer brother bob we'l often it a small glassic's necg and a big toy frug for the kits she can schoop these things into three red bags and w'll go with her wednesday at the prine station
31.0,"vlore, albania",albanian5,albanian,male,data/speech_accent_archive/recordings/recordings/albanian5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring the sthings from ma with her from the store sixspoons of fresh snopeese five thik slaps of blue cheese and maybe a snak for brother bob we also need a small plastic snak and a big tothrob for the kids she can scuib the stings into three red bags and we will go meet her wednesday at the train station
25.0,"prishtina, kosovo",albanian6,albanian,female,data/speech_accent_archive/recordings/recordings/albanian6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her ma with her from the store sixspoons of fresh noatpiece a five thick slabs of blue cheese and maybe a snape for her brother bob we also need a small plassic snake and a big toy frog for her anfolicats she can scoop these things into three red bags and we will go meet her wenesday at the train station
