transcription,path_to_audio,speaker_id,native_language,gender,unispeechsat_base_transcriptions
author of the danger trail philip steels etc,data/l2arctic/ABA/wav/arctic_a0001.wav,ABA,Arabic,M,otar of the dingestril philibstil's extra
not at this particular case tom apologized whittemore,data/l2arctic/ABA/wav/arctic_a0002.wav,ABA,Arabic,M,not at this particular case tom ablugized whithmore
for the twentieth time that evening the two men shook hands,data/l2arctic/ABA/wav/arctic_a0003.wav,ABA,Arabic,M,for that twentieth timed that evening the twomen shook hands
lord but im glad to see you again phil,data/l2arctic/ABA/wav/arctic_a0004.wav,ABA,Arabic,M,lord but i am glad to see you again fill
will we ever forget it,data/l2arctic/ABA/wav/arctic_a0005.wav,ABA,Arabic,M,will we ever forget it
god bless em i hope ill go on seeing them forever,data/l2arctic/ABA/wav/arctic_a0006.wav,ABA,Arabic,M,god belessd them i hope i'll go on seeing them forever
and you always want to see it in the superlative degree,data/l2arctic/ABA/wav/arctic_a0007.wav,ABA,Arabic,M,and do you always want to see it in the sobarlative degree
gad your letter came just in time,data/l2arctic/ABA/wav/arctic_a0008.wav,ABA,Arabic,M,ged your litter him just in time
he turned sharply and faced gregson across the table,data/l2arctic/ABA/wav/arctic_a0009.wav,ABA,Arabic,M,heterna sharply and fized grigson acrooss he taple
im playing a single hand in what looks like a losing game,data/l2arctic/ABA/wav/arctic_a0010.wav,ABA,Arabic,M,i am playing a single hand in what looks like a loosing game
if i ever needed a fighter in my life i need one now,data/l2arctic/ABA/wav/arctic_a0011.wav,ABA,Arabic,M,if i ever needed a fighter in my life i need one now
gregson shoved back his chair and rose to his feet,data/l2arctic/ABA/wav/arctic_a0012.wav,ABA,Arabic,M,grixson shoved back his chair and drose to his feet
he was a head shorter than his companion of almost delicate physique,data/l2arctic/ABA/wav/arctic_a0013.wav,ABA,Arabic,M,he was a ha shorter than his companion of almost delicate physic
now youre coming down to business phil he exclaimed,data/l2arctic/ABA/wav/arctic_a0014.wav,ABA,Arabic,M,now your coming down to business filly he exclaimed
its the aurora borealis,data/l2arctic/ABA/wav/arctic_a0015.wav,ABA,Arabic,M,iti z aroraprolos
theres fort churchill a rifle shot beyond the ridge asleep,data/l2arctic/ABA/wav/arctic_a0016.wav,ABA,Arabic,M,thereis forth a chery chill a refle shot beyond the ridge asleep
there was a change now,data/l2arctic/ABA/wav/arctic_a0018.wav,ABA,Arabic,M,there was a change now
i followed the line of the proposed railroad looking for chances,data/l2arctic/ABA/wav/arctic_a0019.wav,ABA,Arabic,M,i folled the lion over the proposed railrod looking for chances
clubs and balls and cities grew to be only memories,data/l2arctic/ABA/wav/arctic_a0020.wav,ABA,Arabic,M,clubs and pls and cittes guroutubi only a memoris
it fairly clubbed me into recognizing it,data/l2arctic/ABA/wav/arctic_a0021.wav,ABA,Arabic,M,it fairly clobbed me into recoganizing it
hardly were our plans made public before we were met by powerful opposition,data/l2arctic/ABA/wav/arctic_a0022.wav,ABA,Arabic,M,hardly wear our plans made public before we wermit by powerful opposition
a combination of canadian capital quickly organized and petitioned for the same privileges,data/l2arctic/ABA/wav/arctic_a0023.wav,ABA,Arabic,M,a compinition of canadian cabitel quickly organized and petitioned for the seum privileges
it was my reports from the north which chiefly induced people to buy,data/l2arctic/ABA/wav/arctic_a0024.wav,ABA,Arabic,M,it was my reports from the north which chiefely induced people to buy
i was about to do this when cooler judgment prevailed,data/l2arctic/ABA/wav/arctic_a0025.wav,ABA,Arabic,M,i was about to do this when cooler judgment prevailed
it occurred to me that there would have to be an accounting,data/l2arctic/ABA/wav/arctic_a0026.wav,ABA,Arabic,M,it occurs to me that there would have to be an accounting
to my surprise he began to show actual enthusiasm in my favor,data/l2arctic/ABA/wav/arctic_a0027.wav,ABA,Arabic,M,to my sirprise he begin to show actual enthusiasm in my favor
robbery bribery fraud,data/l2arctic/ABA/wav/arctic_a0028.wav,ABA,Arabic,M,robbery pribery foit
their forces were already moving into the north country,data/l2arctic/ABA/wav/arctic_a0029.wav,ABA,Arabic,M,their forces wire orready moving into thanorse country
i had faith in them,data/l2arctic/ABA/wav/arctic_a0030.wav,ABA,Arabic,M,i had faith in thim
they were three hundred yards apart,data/l2arctic/ABA/wav/arctic_a0031.wav,ABA,Arabic,M,they weare the handred yards apart
since then some mysterious force has been fighting us at every step,data/l2arctic/ABA/wav/arctic_a0032.wav,ABA,Arabic,M,since then some misterous force has been fighting us at every step
he unfolded a long typewritten letter and handed it to gregson,data/l2arctic/ABA/wav/arctic_a0033.wav,ABA,Arabic,M,he unfolded along tybrittan letter and handed it to grigson
he stopped and philip nodded at the horrified question in his eyes,data/l2arctic/ABA/wav/arctic_a0035.wav,ABA,Arabic,M,he stopped and eflib noted at the horrified question in his eyes
she turned in at the hotel,data/l2arctic/ABA/wav/arctic_a0036.wav,ABA,Arabic,M,she turned it in at the hotel
i was the only one who remained sitting,data/l2arctic/ABA/wav/arctic_a0037.wav,ABA,Arabic,M,i wasa onew one whorimened sitting
we will have to watch our chances,data/l2arctic/ABA/wav/arctic_a0038.wav,ABA,Arabic,M,we will have to watch our chances
the ship should be in within a week or ten days,data/l2arctic/ABA/wav/arctic_a0039.wav,ABA,Arabic,M,the ship should be in within a week or ten days
i suppose you wonder why she is coming up here,data/l2arctic/ABA/wav/arctic_a0040.wav,ABA,Arabic,M,i suppose you wonder why she is coming up here
meanwhile ill go out to breathe a spell,data/l2arctic/ABA/wav/arctic_a0041.wav,ABA,Arabic,M,meanwhile i'll go ou to pith spell
how could he explain his possession of the sketch,data/l2arctic/ABA/wav/arctic_a0042.wav,ABA,Arabic,M,how could he explain his position over the skitch
it seemed nearer to him since he had seen and talked with gregson,data/l2arctic/ABA/wav/arctic_a0043.wav,ABA,Arabic,M,it seemed nearer to him since he had seen and toged with crikon
her own betrayal of herself was like a tonic to philip,data/l2arctic/ABA/wav/arctic_a0044.wav,ABA,Arabic,M,her own betrial of herself was like a tonic to flip
he moved away as quietly as he had come,data/l2arctic/ABA/wav/arctic_a0045.wav,ABA,Arabic,M,he moved away as quietly as he had come
the girl faced him her eyes shining with sudden fear,data/l2arctic/ABA/wav/arctic_a0046.wav,ABA,Arabic,M,the girl fizzed him her eyes shining with sudden fear
close beside him gleamed the white fangs of the wolf dog,data/l2arctic/ABA/wav/arctic_a0047.wav,ABA,Arabic,M,closed beside him gleamed the white fangs ofver the wolfudok
he looked at the handkerchief more closely,data/l2arctic/ABA/wav/arctic_a0048.wav,ABA,Arabic,M,he looked at the hand erchief more closely
gregson was asleep when he reentered the cabin,data/l2arctic/ABA/wav/arctic_a0049.wav,ABA,Arabic,M,griggson was asleep when he re entered the cappin
in spite of their absurdity the words affected philip curiously,data/l2arctic/ABA/wav/arctic_a0050.wav,ABA,Arabic,M,ininspite of their obsuridity in the words afficted philib curiously
it was a curious coincidence,data/l2arctic/ABA/wav/arctic_a0052.wav,ABA,Arabic,M,it was a curious coincidence
suddenly his fingers closed tightly over the handkerchief,data/l2arctic/ABA/wav/arctic_a0053.wav,ABA,Arabic,M,suddenly his fingers closed tightly over the handkerchief
there was nothing on the rock,data/l2arctic/ABA/wav/arctic_a0054.wav,ABA,Arabic,M,there was nothing on deroc
philip stood undecided his ears strained to catch the slightest sound,data/l2arctic/ABA/wav/arctic_a0055.wav,ABA,Arabic,M,phlipbes stood undecided his ears strained to catch the slightest sound
pearces little eyes were fixed on him shrewdly,data/l2arctic/ABA/wav/arctic_a0056.wav,ABA,Arabic,M,percedis little eyes were fixed on him shrewdly
i have no idea replied philip,data/l2arctic/ABA/wav/arctic_a0057.wav,ABA,Arabic,M,i have no idea a abliet slip
i came for information more out of curiosity than anything else,data/l2arctic/ABA/wav/arctic_a0058.wav,ABA,Arabic,M,i came for informition more out of curiicity than anything else
his immaculate appearance was gone,data/l2arctic/ABA/wav/arctic_a0059.wav,ABA,Arabic,M,his imiculate appearance was gune
anyway no one saw her like that,data/l2arctic/ABA/wav/arctic_a0060.wav,ABA,Arabic,M,in a way no one so har like thet
philip snatched at the letter which gregson held out to him,data/l2arctic/ABA/wav/arctic_a0061.wav,ABA,Arabic,M,fhlips snatched at the litter which grikson held out to him
the men stared into each others face,data/l2arctic/ABA/wav/arctic_a0062.wav,ABA,Arabic,M,the men stared into each other's face
yes it was a man who asked a stranger,data/l2arctic/ABA/wav/arctic_a0063.wav,ABA,Arabic,M,yes it was a man who ask it a stranger
