transcription,path_to_audio,speaker_id,native_language,gender,sewd_tiny_transcriptions
author of the danger trail philip steels etc,data/l2arctic/ABA/wav/arctic_a0001.wav,ABA,Arabic,M,othor of the lingestrial flibstils extre
not at this particular case tom apologized whittemore,data/l2arctic/ABA/wav/arctic_a0002.wav,ABA,Arabic,M,not at this particlar case tom ablogized whit more
for the twentieth time that evening the two men shook hands,data/l2arctic/ABA/wav/arctic_a0003.wav,ABA,Arabic,M,for that wentith tiume that ivening the two men shokhans
lord but im glad to see you again phil,data/l2arctic/ABA/wav/arctic_a0004.wav,ABA,Arabic,M,lord but i am gled to see you again fill
will we ever forget it,data/l2arctic/ABA/wav/arctic_a0005.wav,ABA,Arabic,M,will we ever forget it
god bless em i hope ill go on seeing them forever,data/l2arctic/ABA/wav/arctic_a0006.wav,ABA,Arabic,M,god belis them i hope ill go on seeing them for ever
and you always want to see it in the superlative degree,data/l2arctic/ABA/wav/arctic_a0007.wav,ABA,Arabic,M,and you always want to see it in the sobolotiv digry
gad your letter came just in time,data/l2arctic/ABA/wav/arctic_a0008.wav,ABA,Arabic,M,ged your litter cam just in time
he turned sharply and faced gregson across the table,data/l2arctic/ABA/wav/arctic_a0009.wav,ABA,Arabic,M,hitenacharply and fizzed grickson accrusitable
im playing a single hand in what looks like a losing game,data/l2arctic/ABA/wav/arctic_a0010.wav,ABA,Arabic,M,i am pplaying a single hand in what looks like a loosing gam
if i ever needed a fighter in my life i need one now,data/l2arctic/ABA/wav/arctic_a0011.wav,ABA,Arabic,M,if i ever needd a fighter in my life i need one now
gregson shoved back his chair and rose to his feet,data/l2arctic/ABA/wav/arctic_a0012.wav,ABA,Arabic,M,rick son shoved back his chair and drose to his feet
he was a head shorter than his companion of almost delicate physique,data/l2arctic/ABA/wav/arctic_a0013.wav,ABA,Arabic,M,he was a hishorter than his companion of almost delicate physic
now youre coming down to business phil he exclaimed,data/l2arctic/ABA/wav/arctic_a0014.wav,ABA,Arabic,M,now your coming down to business philli he execlaimed
its the aurora borealis,data/l2arctic/ABA/wav/arctic_a0015.wav,ABA,Arabic,M,itin zaroa prolius
theres fort churchill a rifle shot beyond the ridge asleep,data/l2arctic/ABA/wav/arctic_a0016.wav,ABA,Arabic,M,theis foret a chery chill a rafel shot beyond the ridge asleep
there was a change now,data/l2arctic/ABA/wav/arctic_a0018.wav,ABA,Arabic,M,as it was a change now
i followed the line of the proposed railroad looking for chances,data/l2arctic/ABA/wav/arctic_a0019.wav,ABA,Arabic,M,i folled the lion over the proposed relroad looking for chances
clubs and balls and cities grew to be only memories,data/l2arctic/ABA/wav/arctic_a0020.wav,ABA,Arabic,M,clubs and palls and citas gro to be onlymemorus
it fairly clubbed me into recognizing it,data/l2arctic/ABA/wav/arctic_a0021.wav,ABA,Arabic,M,it fairly cloubed me into riclognizing it
hardly were our plans made public before we were met by powerful opposition,data/l2arctic/ABA/wav/arctic_a0022.wav,ABA,Arabic,M,hardly where our plans made public before we wear mit by powerful oposition
a combination of canadian capital quickly organized and petitioned for the same privileges,data/l2arctic/ABA/wav/arctic_a0023.wav,ABA,Arabic,M,a compination of canadian cabitel quicklly orgonized and petitioned for theseum privilegis
it was my reports from the north which chiefly induced people to buy,data/l2arctic/ABA/wav/arctic_a0024.wav,ABA,Arabic,M,it was my reports from the knorth which chievely indused people to buuy
i was about to do this when cooler judgment prevailed,data/l2arctic/ABA/wav/arctic_a0025.wav,ABA,Arabic,M,i was about to do this when coldor judgment preveiled
it occurred to me that there would have to be an accounting,data/l2arctic/ABA/wav/arctic_a0026.wav,ABA,Arabic,M,it occares to me that there would have to be an acounting
to my surprise he began to show actual enthusiasm in my favor,data/l2arctic/ABA/wav/arctic_a0027.wav,ABA,Arabic,M,to my sirprise he began to shure actuale an susiasm in my favor
robbery bribery fraud,data/l2arctic/ABA/wav/arctic_a0028.wav,ABA,Arabic,M,rubbory pripary frod
their forces were already moving into the north country,data/l2arctic/ABA/wav/arctic_a0029.wav,ABA,Arabic,M,their forces wild already be moving in to thenorse country
i had faith in them,data/l2arctic/ABA/wav/arctic_a0030.wav,ABA,Arabic,M,i had faith in them
they were three hundred yards apart,data/l2arctic/ABA/wav/arctic_a0031.wav,ABA,Arabic,M,they wirl thee hundred dolds apart
since then some mysterious force has been fighting us at every step,data/l2arctic/ABA/wav/arctic_a0032.wav,ABA,Arabic,M,since then some mistrous force has been fighting us at every stip
he unfolded a long typewritten letter and handed it to gregson,data/l2arctic/ABA/wav/arctic_a0033.wav,ABA,Arabic,M,he unforleded alonge tybretten litter and handed it to grixon
he stopped and philip nodded at the horrified question in his eyes,data/l2arctic/ABA/wav/arctic_a0035.wav,ABA,Arabic,M,he stopped and eflib noted at zahorified quistion in his eyes
she turned in at the hotel,data/l2arctic/ABA/wav/arctic_a0036.wav,ABA,Arabic,M,she turned in at the hotev
i was the only one who remained sitting,data/l2arctic/ABA/wav/arctic_a0037.wav,ABA,Arabic,M,i was ony one hodemend sitting
we will have to watch our chances,data/l2arctic/ABA/wav/arctic_a0038.wav,ABA,Arabic,M,we will have to watch our chances
the ship should be in within a week or ten days,data/l2arctic/ABA/wav/arctic_a0039.wav,ABA,Arabic,M,the ship should be in within a week or ten days
i suppose you wonder why she is coming up here,data/l2arctic/ABA/wav/arctic_a0040.wav,ABA,Arabic,M,i suppose you wonder whyt she is coming up here
meanwhile ill go out to breathe a spell,data/l2arctic/ABA/wav/arctic_a0041.wav,ABA,Arabic,M,meanwhile i'll go outi to plase aspell
how could he explain his possession of the sketch,data/l2arctic/ABA/wav/arctic_a0042.wav,ABA,Arabic,M,how could e exblin his position over the skitch
it seemed nearer to him since he had seen and talked with gregson,data/l2arctic/ABA/wav/arctic_a0043.wav,ABA,Arabic,M,it seemed nearer to him since he had seen antoged wis crixom
her own betrayal of herself was like a tonic to philip,data/l2arctic/ABA/wav/arctic_a0044.wav,ABA,Arabic,M,hir own detrial of himself was like a tinic to hip
he moved away as quietly as he had come,data/l2arctic/ABA/wav/arctic_a0045.wav,ABA,Arabic,M,he moved away as quietly as he had come
the girl faced him her eyes shining with sudden fear,data/l2arctic/ABA/wav/arctic_a0046.wav,ABA,Arabic,M,the gar fizzed him his eyes shining with sudden fear
close beside him gleamed the white fangs of the wolf dog,data/l2arctic/ABA/wav/arctic_a0047.wav,ABA,Arabic,M,close beside him glimmed the white fanks over the wol fadook
he looked at the handkerchief more closely,data/l2arctic/ABA/wav/arctic_a0048.wav,ABA,Arabic,M,he looked at the hand herchif more closely
gregson was asleep when he reentered the cabin,data/l2arctic/ABA/wav/arctic_a0049.wav,ABA,Arabic,M,grisom was a sleeb henhere entered the capin
in spite of their absurdity the words affected philip curiously,data/l2arctic/ABA/wav/arctic_a0050.wav,ABA,Arabic,M,in his rit of ther absuridity the words afficted flib curiously
it was a curious coincidence,data/l2arctic/ABA/wav/arctic_a0052.wav,ABA,Arabic,M,it was acculious quincidence
suddenly his fingers closed tightly over the handkerchief,data/l2arctic/ABA/wav/arctic_a0053.wav,ABA,Arabic,M,suddenly his fingers losed tightly over the hand cichief
there was nothing on the rock,data/l2arctic/ABA/wav/arctic_a0054.wav,ABA,Arabic,M,there was nothing on the rok
philip stood undecided his ears strained to catch the slightest sound,data/l2arctic/ABA/wav/arctic_a0055.wav,ABA,Arabic,M,flibbstood ondeside et his ears straned to catch the slightest selent
pearces little eyes were fixed on him shrewdly,data/l2arctic/ABA/wav/arctic_a0056.wav,ABA,Arabic,M,perse's littlele ayeys wer fixed in him showedly
i have no idea replied philip,data/l2arctic/ABA/wav/arctic_a0057.wav,ABA,Arabic,M,i have no idea a roblied flip
i came for information more out of curiosity than anything else,data/l2arctic/ABA/wav/arctic_a0058.wav,ABA,Arabic,M,i cam for informition more out of curiisity than anything else
his immaculate appearance was gone,data/l2arctic/ABA/wav/arctic_a0059.wav,ABA,Arabic,M,his imiculate abearance was gone
anyway no one saw her like that,data/l2arctic/ABA/wav/arctic_a0060.wav,ABA,Arabic,M,in a way no one so haid like that
philip snatched at the letter which gregson held out to him,data/l2arctic/ABA/wav/arctic_a0061.wav,ABA,Arabic,M,flibbs natched at the litter which gricson heled out to him
the men stared into each others face,data/l2arctic/ABA/wav/arctic_a0062.wav,ABA,Arabic,M,the men starred into eich others face
yes it was a man who asked a stranger,data/l2arctic/ABA/wav/arctic_a0063.wav,ABA,Arabic,M,yes it was a man who asket a strenger
the fourth and fifth days passed without any developments,data/l2arctic/ABA/wav/arctic_a0064.wav,ABA,Arabic,M,the fourth and fifth thee is pust without any devillagements
they closed now until his fingers were like cords of steel,data/l2arctic/ABA/wav/arctic_a0065.wav,ABA,Arabic,M,they closed now until his fingers were like cords of hsteal
he saw jeanne falter for a moment,data/l2arctic/ABA/wav/arctic_a0066.wav,ABA,Arabic,M,he saw gen filter for a moment
surely i will excuse you she cried,data/l2arctic/ABA/wav/arctic_a0067.wav,ABA,Arabic,M,surely i will execuse you she cried
from that moment his friendship for belize turns to hatred and jealousy,data/l2arctic/ABA/wav/arctic_a0017.wav,ABA,Arabic,M,from that moment his friendship foreplies turness to hitord and jelisy
men of seldens stamp dont stop at women and children,data/l2arctic/ABA/wav/arctic_a0034.wav,ABA,Arabic,M,men off sildons stam don't stope at woman and the children
the lace was of a delicate ivory color faintly tinted with yellow,data/l2arctic/ABA/wav/arctic_a0051.wav,ABA,Arabic,M,the lace was of adilicate a vorycolor fintly tinted with illo
in a flash philip followed its direction,data/l2arctic/ABA/wav/arctic_a0068.wav,ABA,Arabic,M,in a flesh flip folloed its diriction
a trickle of fresh blood ran over his face,data/l2arctic/ABA/wav/arctic_a0085.wav,ABA,Arabic,M,atrickle ov frish blood arun over his face
he will follow us soon,data/l2arctic/ABA/wav/arctic_a0102.wav,ABA,Arabic,M,he went full as soon
jeanne was turning the bow shoreward,data/l2arctic/ABA/wav/arctic_a0119.wav,ABA,Arabic,M,gin was turning the pow surward
about him everywhere were the evidences of luxury and of age,data/l2arctic/ABA/wav/arctic_a0136.wav,ABA,Arabic,M,about him everywhere with the ividence of aluxery and of age
macdougall tapped his forehead suspiciously with a stubby forefinger,data/l2arctic/ABA/wav/arctic_a0153.wav,ABA,Arabic,M,magduga debbed his forehead suspiciously ways a teavy fourfinger
and when you come back in a few days bring eileen,data/l2arctic/ABA/wav/arctic_a0171.wav,ABA,Arabic,M,and when you come back in a few days prank leane
two gigantic owls were tearing at the carcass,data/l2arctic/ABA/wav/arctic_a0188.wav,ABA,Arabic,M,to gigantic alls were teeling ad zecarkus
from now on were pals,data/l2arctic/ABA/wav/arctic_a0205.wav,ABA,Arabic,M,for now on we are pats
what part of the united states is your home,data/l2arctic/ABA/wav/arctic_a0222.wav,ABA,Arabic,M,what wat of the nice dits is you home
he cried in such genuine dismay that she broke into hearty laughter,data/l2arctic/ABA/wav/arctic_a0239.wav,ABA,Arabic,M,he cried in such aginian dismay that she broke into a hardy lufter
see the length of the body and that elongated neck,data/l2arctic/ABA/wav/arctic_a0256.wav,ABA,Arabic,M,sei the lins of the body and that illungated nick
it was his intention to return to eileen and her father,data/l2arctic/ABA/wav/arctic_a0069.wav,ABA,Arabic,M,it was his intention to return to ilene and the hir father
he would first hunt up gregson and begin his work there,data/l2arctic/ABA/wav/arctic_a0070.wav,ABA,Arabic,M,he would first hand up grickson and begin his wark there
what was the object of your little sensation,data/l2arctic/ABA/wav/arctic_a0071.wav,ABA,Arabic,M,what was the object of you little sensition
but who was eileens double,data/l2arctic/ABA/wav/arctic_a0072.wav,ABA,Arabic,M,but who was ilines dubin
the promoters eyes were heavy with little puffy bags under them,data/l2arctic/ABA/wav/arctic_a0073.wav,ABA,Arabic,M,the brew metorh's eyes were heavhy with little puffy bogs undhethim
and now down there eileen was waiting for him,data/l2arctic/ABA/wav/arctic_a0074.wav,ABA,Arabic,M,and dinow thou went there alin was waiting for him
there has been a change she interrupted him,data/l2arctic/ABA/wav/arctic_a0075.wav,ABA,Arabic,M,there has been a change she interrupted him
the gray eyes faltered the flush deepened,data/l2arctic/ABA/wav/arctic_a0076.wav,ABA,Arabic,M,the gree eyes filtered the flush debind
it is the fire partly she said,data/l2arctic/ABA/wav/arctic_a0077.wav,ABA,Arabic,M,it is the fire bartly she said
then and at supper he tried to fathom her,data/l2arctic/ABA/wav/arctic_a0078.wav,ABA,Arabic,M,then and at supper he tried to futtom him
it was a large canoe,data/l2arctic/ABA/wav/arctic_a0079.wav,ABA,Arabic,M,it was a large ceno
what if jeanne failed him,data/l2arctic/ABA/wav/arctic_a0080.wav,ABA,Arabic,M,what if ign failed him
what if she did not come to the rock,data/l2arctic/ABA/wav/arctic_a0081.wav,ABA,Arabic,M,what if she didn't come to the roke
