transcription,path_to_audio,speaker_id,native_language,gender,whisper_base_transcriptions
author of the danger trail philip steels etc,data/l2arctic/ABA/wav/arctic_a0001.wav,ABA,Arabic,M,author of the dinger trial flip steels extra.
not at this particular case tom apologized whittemore,data/l2arctic/ABA/wav/arctic_a0002.wav,ABA,Arabic,M,"not at this particular case, tom abloogized with more"
for the twentieth time that evening the two men shook hands,data/l2arctic/ABA/wav/arctic_a0003.wav,ABA,Arabic,M,for the 20th time that evening the two men shook hands.
lord but im glad to see you again phil,data/l2arctic/ABA/wav/arctic_a0004.wav,ABA,Arabic,M,"lord, but i am glad to see you again, phil."
will we ever forget it,data/l2arctic/ABA/wav/arctic_a0005.wav,ABA,Arabic,M,will we ever forget it?
god bless em i hope ill go on seeing them forever,data/l2arctic/ABA/wav/arctic_a0006.wav,ABA,Arabic,M,"god bless them, i hope i'll go on seeing them forever."
and you always want to see it in the superlative degree,data/l2arctic/ABA/wav/arctic_a0007.wav,ABA,Arabic,M,and you always want to see it in the sub-allotive degree.
gad your letter came just in time,data/l2arctic/ABA/wav/arctic_a0008.wav,ABA,Arabic,M,get your litter came just in time.
he turned sharply and faced gregson across the table,data/l2arctic/ABA/wav/arctic_a0009.wav,ABA,Arabic,M,hit hern a charply and faced gregson across the table.
im playing a single hand in what looks like a losing game,data/l2arctic/ABA/wav/arctic_a0010.wav,ABA,Arabic,M,i am playing a single hand in what looks like a losing game.
if i ever needed a fighter in my life i need one now,data/l2arctic/ABA/wav/arctic_a0011.wav,ABA,Arabic,M,"if i ever needed a fighter in my life, i need one now."
gregson shoved back his chair and rose to his feet,data/l2arctic/ABA/wav/arctic_a0012.wav,ABA,Arabic,M,kriksson shoved back his chair and rose to his feet.
he was a head shorter than his companion of almost delicate physique,data/l2arctic/ABA/wav/arctic_a0013.wav,ABA,Arabic,M,he was a head shorter than his companion of almost delicate physique.
now youre coming down to business phil he exclaimed,data/l2arctic/ABA/wav/arctic_a0014.wav,ABA,Arabic,M,"now you're coming down to business, fili, hxi, client."
its the aurora borealis,data/l2arctic/ABA/wav/arctic_a0015.wav,ABA,Arabic,M,it is the aurora proliath.
theres fort churchill a rifle shot beyond the ridge asleep,data/l2arctic/ABA/wav/arctic_a0016.wav,ABA,Arabic,M,"this fourth churchill, a rifle shot beyond the ridge asleep."
there was a change now,data/l2arctic/ABA/wav/arctic_a0018.wav,ABA,Arabic,M,zero was a change now.
i followed the line of the proposed railroad looking for chances,data/l2arctic/ABA/wav/arctic_a0019.wav,ABA,Arabic,M,"i followed the lion over the proposed railroad, looking for chances."
clubs and balls and cities grew to be only memories,data/l2arctic/ABA/wav/arctic_a0020.wav,ABA,Arabic,M,clubs and polls and cities grow to be only memories.
it fairly clubbed me into recognizing it,data/l2arctic/ABA/wav/arctic_a0021.wav,ABA,Arabic,M,it fairly clapped me into recognizing it.
hardly were our plans made public before we were met by powerful opposition,data/l2arctic/ABA/wav/arctic_a0022.wav,ABA,Arabic,M,hardly where our plans made public before we were made by powerful opposition.
a combination of canadian capital quickly organized and petitioned for the same privileges,data/l2arctic/ABA/wav/arctic_a0023.wav,ABA,Arabic,M,a combination of canadian capital quickly organized and petitioned for the same privileges.
it was my reports from the north which chiefly induced people to buy,data/l2arctic/ABA/wav/arctic_a0024.wav,ABA,Arabic,M,it was my reports from the north which chiefly induced people to buy.
i was about to do this when cooler judgment prevailed,data/l2arctic/ABA/wav/arctic_a0025.wav,ABA,Arabic,M,i was about to do this when cooler judgment prevailed.
it occurred to me that there would have to be an accounting,data/l2arctic/ABA/wav/arctic_a0026.wav,ABA,Arabic,M,it occurred to me that there would have to be an accounting.
to my surprise he began to show actual enthusiasm in my favor,data/l2arctic/ABA/wav/arctic_a0027.wav,ABA,Arabic,M,"to my surprise, he began to show actual enthusiasm in my favor."
robbery bribery fraud,data/l2arctic/ABA/wav/arctic_a0028.wav,ABA,Arabic,M,"rubbery, priory, fruit"
their forces were already moving into the north country,data/l2arctic/ABA/wav/arctic_a0029.wav,ABA,Arabic,M,their forces were already moving into the north's country.
i had faith in them,data/l2arctic/ABA/wav/arctic_a0030.wav,ABA,Arabic,M,i had faith in them.
they were three hundred yards apart,data/l2arctic/ABA/wav/arctic_a0031.wav,ABA,Arabic,M,they were 300 yards apart.
since then some mysterious force has been fighting us at every step,data/l2arctic/ABA/wav/arctic_a0032.wav,ABA,Arabic,M,since then some maistras force has been fighting us at every step.
he unfolded a long typewritten letter and handed it to gregson,data/l2arctic/ABA/wav/arctic_a0033.wav,ABA,Arabic,M,he unfolded a long tie-britting letter and handed it to gregson.
he stopped and philip nodded at the horrified question in his eyes,data/l2arctic/ABA/wav/arctic_a0035.wav,ABA,Arabic,M,he stopped and the flip nodded at the horrified question in his eyes.
she turned in at the hotel,data/l2arctic/ABA/wav/arctic_a0036.wav,ABA,Arabic,M,she turned it in at the hotel.
i was the only one who remained sitting,data/l2arctic/ABA/wav/arctic_a0037.wav,ABA,Arabic,M,i was the only one who remained sitting.
we will have to watch our chances,data/l2arctic/ABA/wav/arctic_a0038.wav,ABA,Arabic,M,we will have to watch our chances.
the ship should be in within a week or ten days,data/l2arctic/ABA/wav/arctic_a0039.wav,ABA,Arabic,M,the ship should be in within a week or 10 days.
i suppose you wonder why she is coming up here,data/l2arctic/ABA/wav/arctic_a0040.wav,ABA,Arabic,M,i suppose you wonder why she is coming up here.
meanwhile ill go out to breathe a spell,data/l2arctic/ABA/wav/arctic_a0041.wav,ABA,Arabic,M,"meanwhile, i'll go out to play spel."
how could he explain his possession of the sketch,data/l2arctic/ABA/wav/arctic_a0042.wav,ABA,Arabic,M,how could he explain his position over the sketch?
it seemed nearer to him since he had seen and talked with gregson,data/l2arctic/ABA/wav/arctic_a0043.wav,ABA,Arabic,M,it seemed nearer to him since he had seen and talked with correction.
her own betrayal of herself was like a tonic to philip,data/l2arctic/ABA/wav/arctic_a0044.wav,ABA,Arabic,M,her own betrayal of herself was like a tonic to flip.
he moved away as quietly as he had come,data/l2arctic/ABA/wav/arctic_a0045.wav,ABA,Arabic,M,he moved away as quietly as he had come.
the girl faced him her eyes shining with sudden fear,data/l2arctic/ABA/wav/arctic_a0046.wav,ABA,Arabic,M,"the girl faced him, her eyes shining with sudden fear."
close beside him gleamed the white fangs of the wolf dog,data/l2arctic/ABA/wav/arctic_a0047.wav,ABA,Arabic,M,"close beside him, gleamed the white fangs of the wolf duck."
he looked at the handkerchief more closely,data/l2arctic/ABA/wav/arctic_a0048.wav,ABA,Arabic,M,"he looked at the hand, kirshif more closely."
gregson was asleep when he reentered the cabin,data/l2arctic/ABA/wav/arctic_a0049.wav,ABA,Arabic,M,grickson was asleep when he reentered the cabin.
in spite of their absurdity the words affected philip curiously,data/l2arctic/ABA/wav/arctic_a0050.wav,ABA,Arabic,M,"in his bite of their absurredity, the words affected flip curiously."
it was a curious coincidence,data/l2arctic/ABA/wav/arctic_a0052.wav,ABA,Arabic,M,it was a curious coincidence.
suddenly his fingers closed tightly over the handkerchief,data/l2arctic/ABA/wav/arctic_a0053.wav,ABA,Arabic,M,"suddenly his fingers glosed tightly over the hand, krishiv."
there was nothing on the rock,data/l2arctic/ABA/wav/arctic_a0054.wav,ABA,Arabic,M,there was nothing on the rock.
philip stood undecided his ears strained to catch the slightest sound,data/l2arctic/ABA/wav/arctic_a0055.wav,ABA,Arabic,M,flippestod undecided his ears strained to catch the slightest sound.
pearces little eyes were fixed on him shrewdly,data/l2arctic/ABA/wav/arctic_a0056.wav,ABA,Arabic,M,"perst's little eyes were fixed on him, shrewdly."
i have no idea replied philip,data/l2arctic/ABA/wav/arctic_a0057.wav,ABA,Arabic,M,"i have no idea, a blight flip."
i came for information more out of curiosity than anything else,data/l2arctic/ABA/wav/arctic_a0058.wav,ABA,Arabic,M,i came for information more out of curiosity than anything else.
his immaculate appearance was gone,data/l2arctic/ABA/wav/arctic_a0059.wav,ABA,Arabic,M,his immaculate appearance was gone.
anyway no one saw her like that,data/l2arctic/ABA/wav/arctic_a0060.wav,ABA,Arabic,M,"in a way, no one so hair like that."
philip snatched at the letter which gregson held out to him,data/l2arctic/ABA/wav/arctic_a0061.wav,ABA,Arabic,M,flip snatched at the litter which grickson held out to him.
the men stared into each others face,data/l2arctic/ABA/wav/arctic_a0062.wav,ABA,Arabic,M,the men stared into each other's face.
yes it was a man who asked a stranger,data/l2arctic/ABA/wav/arctic_a0063.wav,ABA,Arabic,M,"yes, it was a man who asked a stranger."
the fourth and fifth days passed without any developments,data/l2arctic/ABA/wav/arctic_a0064.wav,ABA,Arabic,M,the fourth and fifth day is passed without any developments.
they closed now until his fingers were like cords of steel,data/l2arctic/ABA/wav/arctic_a0065.wav,ABA,Arabic,M,they closed now until his fingers were like cordes of steel.
he saw jeanne falter for a moment,data/l2arctic/ABA/wav/arctic_a0066.wav,ABA,Arabic,M,he saw gienfilter for a moment.
surely i will excuse you she cried,data/l2arctic/ABA/wav/arctic_a0067.wav,ABA,Arabic,M,"surely, i will execute you. she cried."
from that moment his friendship for belize turns to hatred and jealousy,data/l2arctic/ABA/wav/arctic_a0017.wav,ABA,Arabic,M,from that moment his friendship for plies turned to hittred and jalasi.
men of seldens stamp dont stop at women and children,data/l2arctic/ABA/wav/arctic_a0034.wav,ABA,Arabic,M,"men of sildans stand, don't stop at women and children."
the lace was of a delicate ivory color faintly tinted with yellow,data/l2arctic/ABA/wav/arctic_a0051.wav,ABA,Arabic,M,"the lace was of a delicate ivory color, thinly tinted with yellow."
in a flash philip followed its direction,data/l2arctic/ABA/wav/arctic_a0068.wav,ABA,Arabic,M,"in a flash flip, followed its direction."
a trickle of fresh blood ran over his face,data/l2arctic/ABA/wav/arctic_a0085.wav,ABA,Arabic,M,a trickle of a fresh blood run over his face.
he will follow us soon,data/l2arctic/ABA/wav/arctic_a0102.wav,ABA,Arabic,M,he will follow us soon.
jeanne was turning the bow shoreward,data/l2arctic/ABA/wav/arctic_a0119.wav,ABA,Arabic,M,jean was turning the power shortward.
about him everywhere were the evidences of luxury and of age,data/l2arctic/ABA/wav/arctic_a0136.wav,ABA,Arabic,M,"about him, everywhere, where the evidence of a luxury and of age."
macdougall tapped his forehead suspiciously with a stubby forefinger,data/l2arctic/ABA/wav/arctic_a0153.wav,ABA,Arabic,M,magdougal tapped his forehead suspiciously with a stabby forefinger.
and when you come back in a few days bring eileen,data/l2arctic/ABA/wav/arctic_a0171.wav,ABA,Arabic,M,"and when you come back in a few days, bring lean."
two gigantic owls were tearing at the carcass,data/l2arctic/ABA/wav/arctic_a0188.wav,ABA,Arabic,M,two gigantic holes were keying at the carcass.
from now on were pals,data/l2arctic/ABA/wav/arctic_a0205.wav,ABA,Arabic,M,from now on we are paths.
what part of the united states is your home,data/l2arctic/ABA/wav/arctic_a0222.wav,ABA,Arabic,M,what part of the nice states is your home?
he cried in such genuine dismay that she broke into hearty laughter,data/l2arctic/ABA/wav/arctic_a0239.wav,ABA,Arabic,M,he cried in such a genuine dismay that she broke into a hearty laughter.
see the length of the body and that elongated neck,data/l2arctic/ABA/wav/arctic_a0256.wav,ABA,Arabic,M,see the lens of the body and that elongated neck.
it was his intention to return to eileen and her father,data/l2arctic/ABA/wav/arctic_a0069.wav,ABA,Arabic,M,it was his intention to return to eileen and her father.
he would first hunt up gregson and begin his work there,data/l2arctic/ABA/wav/arctic_a0070.wav,ABA,Arabic,M,he would first hunt up grickson and begin his work there.
what was the object of your little sensation,data/l2arctic/ABA/wav/arctic_a0071.wav,ABA,Arabic,M,what was the object of your little sensation?
but who was eileens double,data/l2arctic/ABA/wav/arctic_a0072.wav,ABA,Arabic,M,but who was elyne zdapel?
the promoters eyes were heavy with little puffy bags under them,data/l2arctic/ABA/wav/arctic_a0073.wav,ABA,Arabic,M,the brew meters eyes were heavy with little puffy pugs under them.
and now down there eileen was waiting for him,data/l2arctic/ABA/wav/arctic_a0074.wav,ABA,Arabic,M,"and now, down there, elin was waiting for him."
there has been a change she interrupted him,data/l2arctic/ABA/wav/arctic_a0075.wav,ABA,Arabic,M,there has been a change. she interrupted him.
the gray eyes faltered the flush deepened,data/l2arctic/ABA/wav/arctic_a0076.wav,ABA,Arabic,M,the gray eyes filtered the flush deepened
it is the fire partly she said,data/l2arctic/ABA/wav/arctic_a0077.wav,ABA,Arabic,M,it is the fire. partly she said.
then and at supper he tried to fathom her,data/l2arctic/ABA/wav/arctic_a0078.wav,ABA,Arabic,M,"vin and ed supper, he tried to fat him here."
it was a large canoe,data/l2arctic/ABA/wav/arctic_a0079.wav,ABA,Arabic,M,it was a large canal.
what if jeanne failed him,data/l2arctic/ABA/wav/arctic_a0080.wav,ABA,Arabic,M,what if jean failed him?
what if she did not come to the rock,data/l2arctic/ABA/wav/arctic_a0081.wav,ABA,Arabic,M,what if she didn't come to the rock?
his face was streaming with blood,data/l2arctic/ABA/wav/arctic_a0082.wav,ABA,Arabic,M,his face was streaming with blood.
a shadow was creeping over pierres eyes,data/l2arctic/ABA/wav/arctic_a0083.wav,ABA,Arabic,M,shadow was creeping over pierre's eyes.
scarcely had he uttered the name when pierres closing eyes shot open,data/l2arctic/ABA/wav/arctic_a0084.wav,ABA,Arabic,M,scarcely had he uttered the name when paris closing eyes shut open.
death had come with terrible suddenness,data/l2arctic/ABA/wav/arctic_a0086.wav,ABA,Arabic,M,this has come with terrible sadness.
philip bent lower and stared into the face of the dead man,data/l2arctic/ABA/wav/arctic_a0087.wav,ABA,Arabic,M,flip pin to lower and stir it into the face of the did man.!!
he made sure that the magazine was loaded and resumed his paddling,data/l2arctic/ABA/wav/arctic_a0088.wav,ABA,Arabic,M,he made sure that the magazine was loaded and resumed his paddling.!!
the night glow was treacherous to shoot by,data/l2arctic/ABA/wav/arctic_a0089.wav,ABA,Arabic,M,the night glue was stretched to shoot by.!!
the singing voice approached rapidly,data/l2arctic/ABA/wav/arctic_a0090.wav,ABA,Arabic,M,the singing voice approached rapidly.!!
his blood grew hot with rage at the thought,data/l2arctic/ABA/wav/arctic_a0091.wav,ABA,Arabic,M,"his blood grew hot, what rage as a thought?!!"
he went down in midstream searching the shadows of both shores,data/l2arctic/ABA/wav/arctic_a0092.wav,ABA,Arabic,M,he went to darwin in midstream searching the shadows of both shores.!!
for a full minute he crouched and listened,data/l2arctic/ABA/wav/arctic_a0093.wav,ABA,Arabic,M,"for a full minute, a crocheted and listened.!!"
he had barely entered this when he saw the glow of a fire,data/l2arctic/ABA/wav/arctic_a0094.wav,ABA,Arabic,M,he had barely entered this when he saw the glow of a fire.!!
a big canvas tent was the first thing to come within his vision,data/l2arctic/ABA/wav/arctic_a0095.wav,ABA,Arabic,M,a big canvas tend to be the first thing to come within his vision.!!
