age,birthplace,filename,native_language,sex,path_to_audio,transcription,wavlm_base_transcriptions
27.0,"virginia, south africa",afrikaans1,afrikaans,female,data/speech_accent_archive/recordings/recordings/afrikaans1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleasecoll staller oske to bring these things with her from the stor sixpoons of frih snow piece fie thick slaps of blue cheese and my be a snakfo her bri  brathe bo we also need a small plastic snake and a beak towa frok for the keits she can scoop these things interfrerat bagks and we will go meet e winstad drains station
40.0,"pretoria, south africa",afrikaans2,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella osk er to bring these things with her from the storm six spoons of fresh snow pieese five thick slabs of blue cheese and maybe a snack for her brother bob we also ned a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
43.0,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal stella oskoud to bring these things with her from the store six spoons of fresh snow peese five thick slabs of blue cheese and may be a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wensday at the train station
26.0,"pretoria, south africa",afrikaans4,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pease call stela ask her to bring these thngs with her from the store six spoons of fresh snow peese five thick slaps of blue cheese and maybe a snapp for her brother bob we also need a small plastic snake and a big toy frog for the kits she can scoop these things into three rid bags and we will go meet her wensday at the train station
19.0,"cape town, south africa",afrikaans5,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please chool stella ask her to bring these things with her from the stok six spoons of fresh no piese five thick slaps of ble cheese and maybe a snack for her brother bob we alson eat a small plassic snake an a big ti frog for the kids she can scoope these things into three ret bags and ou ill go meet her wensday at the train stacion
41.0,"accra, ghana",akan1,akan,male,data/speech_accent_archive/recordings/recordings/akan1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,ase castela as ket to bring these things withe from de stow six sixpons of fresh snowpiece fithix laps of blu cheese and maybeasnigk for hi brothe ba yusenid a smal pussis nakin a big tor frogk for the kates she canscup these things into three red bagks and will go m har wenday and e transtish
19.0,"prishtina, kosovo",albanian1,albanian,male,data/speech_accent_archive/recordings/recordings/albanian1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring this things with her from the store six spoons of fresh now pece five thick slaps of blue cheese and maybe a snak for her brother bob we also need a small plastic snake and the big toy frog for the kits she can scoop this things into three red baks and we will meet we will go meet her wensday at the twains station
44.0,"tirana, albania",albanian3,albanian,male,data/speech_accent_archive/recordings/recordings/albanian3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,bleese call staar ask her to bring these things with her from the star six spoons or fresh sno peese five thik slaps of ble cheese and ma bea snack for brther bob evolfoni the small bastics neg and the bigtoy frot fom the kits she can scoup thes things into three or et bags and will go mat her at onse day at the princetation
31.0,"vlore, albania",albanian5,albanian,male,data/speech_accent_archive/recordings/recordings/albanian5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pese col stellask her to bring this thinks from m with her from the stor sixpoons of fresnow piece five thekes laps of blu cheese and may bea snak for brothebo wots onead a small plastic snake and the big to frok for the kits she can skub this thingks into three red bags and we will go meeter wheneday at the trainstich
25.0,"prishtina, kosovo",albanian6,albanian,female,data/speech_accent_archive/recordings/recordings/albanian6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,test call stella askk her to bring these things with her ma with her from the store six poons of freh snow piece o five thick slabs of blue cheese and maybe a snagk for her brother bob we allsen et a small classic snake and a big toy frog for her bo forlikets she can scoop these things into three red bags and we will go meet her ones thay at the train station
