age,birthplace,filename,native_language,sex,path_to_audio,transcription,unispeech_large_transcriptions
27.0,"virginia, south africa",afrikaans1,afrikaans,female,data/speech_accent_archive/recordings/recordings/afrikaans1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,ples colle stalay osceto bring these things wefem from the s toe sis pons o fresnoe pes fie thig slabs of blu cis and maybe snag for hed brathead brothe bog we also need s mall plastic snake and a big twad fro fo the kidts shi can s coup thes things intofred baks and wewil go met a winstade train station
40.0,"pretoria, south africa",afrikaans2,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,ff pleas colle stella askoe to brig thes thigs witth her from the stowre sis spons of fresh snow pes five thig slabs o blu chees and maybe snagh for her brother bobe wre also need small plastic snah and a big toyfrog fo the kids  she caen scoue thes things into threred bags and we wll go met her whensday t the trainstationee
43.0,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,ples cole stela as k oe to bring these things wither from the stor sis spons o fresh snow pes five thig slabs of blu cees and maybe a snackh fo her brother bob we also nee a smoll plastic snackand a big toy frog for the kids  she can scoobp these things into three red bags and we will go meat her wens day at the train station
26.0,"pretoria, south africa",afrikaans4,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas colestella easkhur to bring thes things wih her from the storee sic stons o fresh sno pees five fig slambs blu ches and mabe a snag for her brother bobwe allso nee a small plastic snah and ae big toy frogd fo the kids shecan schob thes things into thre red bags and we will go met her whensday at the trainstationee
19.0,"cape town, south africa",afrikaans5,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,eples coe stalla e  as ke to bring thes things with her from the storee sic spons e fresh nopes  five fic slaps o blouches and maybea snagh fo her brother bobee whoe aolso ed a smalle plastic snake inthe big toy frog fo the kids  she can skob thes things into thr red bags  and melegormet her whensday at the train stashion
41.0,"accra, ghana",akan1,akan,male,data/speech_accent_archive/recordings/recordings/akan1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,lleles costellaaska to bring thes things withe fromndestol si sispons of fres snopies fie thics laves of blouciesand maybas s nock for hed brother bolbrosned a s mlle plasi snakin a big toyfo foe cats shei can scoop tes things into thre red bagsand bill go me he wenza atde train stasionf drrrrrccf
19.0,"prishtina, kosovo",albanian1,albanian,male,data/speech_accent_archive/recordings/recordings/albanian1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please coll stellaask her to bring thei things with her from the stor sic spons o fresh s no pes  five thick slabs op blu ces and maybe a snag for her brother bobwe also nee a small plastic snakand the big toy frog for the kidsshe  can scop   this things into thre red bagsand we will  met we will go met her wens day at the train staton
44.0,"tirana, albania",albanian3,albanian,male,data/speech_accent_archive/recordings/recordings/albanian3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plas colld s taelaaskore to bring thes tings with her from the s tor sics pouns o fresno  pes five fi snambs of bl ces and mayb a snag offorerbrother bob wotai t a s mall plastic snace an the bigh toy frod foorlkids she can sco thes tings into thre red bagsand wile gew met her wons dy at te timstaytion dd
31.0,"vlore, albania",albanian5,albanian,male,data/speech_accent_archive/recordings/recordings/albanian5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,fff plas coe stella oskure to bring thesthings fromm whith her from the store sic pons o fresno pes five tic s laps our bluces and ma be a snagh for brother bob wils oneet small plastic snak and vic to hroe fote kids shucan scoulb the stins into thre red bags and weyvlle go meter wenstay at the train statsion f
25.0,"prishtina, kosovo",albanian6,albanian,female,data/speech_accent_archive/recordings/recordings/albanian6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,fpes cale s tella ascurt tloy bring these things with her mo with her from the store sis poons or fressno pes o five thic slabs of blu ches and maybe a snag for er brother bob we also need a small plastic snake and a big toyfrog for her  n forlaceids she can scoop these thangs into thre red bags and we wll  go meet her ones dey atdhe train station
