age,birthplace,filename,native_language,sex,path_to_audio,transcription,sew_mid_transcriptions
27.0,"virginia, south africa",afrikaans1,afrikaans,female,data/speech_accent_archive/recordings/recordings/afrikaans1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pliscol scular aske to bring these things with hr from the sto six spoons of fri sno peace five thicslapps of blu chees and mabe snack for her bro  brathe bop we also neede a small plastic snak and a bick to wa frok for the kits she can scroop these things into frerit backs and we will go meat te winstad  drain station
40.0,"pretoria, south africa",afrikaans2,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleese call stellar ask her to bring these thigs with her from the storr six spoons of fresh snow peese five thicks slabbs of blue chees and may be a snack for her brother bog we also med a small plastics snake and a big toy frog for the kids she can scoop these thngs into tree red baggs and we will go meet her wensday at the trainstation
43.0,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal stela ask her to bring these things with her from the stor six spoons of fresh snow pees ive thic slabs off blue chhees and may be a snack for her brother bob we also ned a small plastic snake and a biig toy frog for the kids she can scoop these thigs into three red baggs and we will go meet her wensday at the trainstation
26.0,"pretoria, south africa",afrikaans4,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the stor six spoons of fresh snow pees five thick slaps of blue chees and may be a snap or her brother bobb we also need a small plastics snake and a big toy frog for the kits she can scoop these things into three red bags and we will go meet her wensday at the trains tation
19.0,"cape town, south africa",afrikaans5,afrikaans,male,data/speech_accent_archive/recordings/recordings/afrikaans5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please col stellar ask her to bring these things with her from the stor six spoons of fresh snnok pees five thic slabbs of blee chees and may be a sack or her brother bobdly we olso ned a small plt sics smake in the big toi frog for the kids she cnspete these things into three red baggs and the orga eet her wensta at the traain stlation
41.0,"accra, ghana",akan1,akan,male,data/speech_accent_archive/recordings/recordings/akan1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,tes calls telar ascat to bring these things with ett from the stow six sixpoones of fresh sno pies five thix lavs off blu chees and mad be a snuc for her brother bo ase need a smaall plassis nake in a big toy fro for the cates she can scoopp these things into three red bags and wel go me he wenda ad te transtishe
19.0,"prishtina, kosovo",albanian1,albanian,male,data/speech_accent_archive/recordings/recordings/albanian1.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring this things with her from the stor six spoons of fresh sno pees five thiicck slaps of blue chees and may be a snack for her brother bob we also need a small plastick snake and the big toy frog for the kits she can scoop thes thins into three red bags and we will meet w will go meet her wanesday at the train station
44.0,"tirana, albania",albanian3,albanian,male,data/speech_accent_archive/recordings/recordings/albanian3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pplease ol stela ask hr to bring thise things with her from the stor sixs spoons of fressnop pes five thixs slaapps of bluchies and mae be a snack offor her brother babb olonly the smolk dostics nek in the bikto frok from the kitts she canschood this thngs into three ar rad baks and would gown met her a wonesday at t the trinstaion
31.0,"vlore, albania",albanian5,albanian,male,data/speech_accent_archive/recordings/recordings/albanian5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pease col stela sk her to bring this things rom m  with her from the stor six spoones of fersno peace five thics laps or bllue chees and may be a snack for rother bob we allso need the small lastic snake and the big torop for the kits she can scoow this things into three red baggs and we will go meter when stay at the trainstache
25.0,"prishtina, kosovo",albanian6,albanian,female,data/speech_accent_archive/recordings/recordings/albanian6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,these calls tella ask her to bring these things with her mo with her from the stor six spoons of fresh no peece a five thic slabs of blue chees and may be a snac or her brother bobb we also et a small plassic snak and a big toy frog for her fon forlicats she can scoop these things into three red baggs and we will go meet her ones teyat the train station
