transcription,path_to_audio,speaker_id,native_language,gender,whisper_large_transcriptions
author of the danger trail philip steels etc,data/l2arctic/ABA/wav/arctic_a0001.wav,ABA,Arabic,M,"author of the danger trial, philip steele's extra!"
not at this particular case tom apologized whittemore,data/l2arctic/ABA/wav/arctic_a0002.wav,ABA,Arabic,M,"not at this particular case, tom apologized with more.!"
for the twentieth time that evening the two men shook hands,data/l2arctic/ABA/wav/arctic_a0003.wav,ABA,Arabic,M,"for the 20th time that evening, the two men shook hands.!"
lord but im glad to see you again phil,data/l2arctic/ABA/wav/arctic_a0004.wav,ABA,Arabic,M,"lord, but i am glad to see you again, phil.!"
will we ever forget it,data/l2arctic/ABA/wav/arctic_a0005.wav,ABA,Arabic,M,will we ever forget it?!
god bless em i hope ill go on seeing them forever,data/l2arctic/ABA/wav/arctic_a0006.wav,ABA,Arabic,M,"god bless them, i hope i'll go on seeing them forever.!"
and you always want to see it in the superlative degree,data/l2arctic/ABA/wav/arctic_a0007.wav,ABA,Arabic,M,and you always want to see it in the superlative degree!
gad your letter came just in time,data/l2arctic/ABA/wav/arctic_a0008.wav,ABA,Arabic,M,"gad, your letter came just in time.!"
he turned sharply and faced gregson across the table,data/l2arctic/ABA/wav/arctic_a0009.wav,ABA,Arabic,M,he turned sharply and faced greg's son across the table.
im playing a single hand in what looks like a losing game,data/l2arctic/ABA/wav/arctic_a0010.wav,ABA,Arabic,M,i am playing a single hand in what looks like a losing game.
if i ever needed a fighter in my life i need one now,data/l2arctic/ABA/wav/arctic_a0011.wav,ABA,Arabic,M,"if i ever needed a fighter in my life, i need one now."
gregson shoved back his chair and rose to his feet,data/l2arctic/ABA/wav/arctic_a0012.wav,ABA,Arabic,M,gregson shoved back his chair and rose to his feet.
he was a head shorter than his companion of almost delicate physique,data/l2arctic/ABA/wav/arctic_a0013.wav,ABA,Arabic,M,he was a head shorter than his companion of almost delicate physique.
now youre coming down to business phil he exclaimed,data/l2arctic/ABA/wav/arctic_a0014.wav,ABA,Arabic,M,"now you're coming down to business, philly, he exclaimed."
its the aurora borealis,data/l2arctic/ABA/wav/arctic_a0015.wav,ABA,Arabic,M,it is the aurora prolius.
theres fort churchill a rifle shot beyond the ridge asleep,data/l2arctic/ABA/wav/arctic_a0016.wav,ABA,Arabic,M,there is fort churchill. rifle shot beyond the ridge asleep.
there was a change now,data/l2arctic/ABA/wav/arctic_a0018.wav,ABA,Arabic,M,there was a change now.!!
i followed the line of the proposed railroad looking for chances,data/l2arctic/ABA/wav/arctic_a0019.wav,ABA,Arabic,M,"i followed the line of the proposed railroad, looking for chances.!!"
clubs and balls and cities grew to be only memories,data/l2arctic/ABA/wav/arctic_a0020.wav,ABA,Arabic,M,clubs and pools and cities grow to be only memories.!!
it fairly clubbed me into recognizing it,data/l2arctic/ABA/wav/arctic_a0021.wav,ABA,Arabic,M,it fairly clubbed me into recognizing it.!!
hardly were our plans made public before we were met by powerful opposition,data/l2arctic/ABA/wav/arctic_a0022.wav,ABA,Arabic,M,hardly were our plans made public before we were met by powerful opposition.!!
a combination of canadian capital quickly organized and petitioned for the same privileges,data/l2arctic/ABA/wav/arctic_a0023.wav,ABA,Arabic,M,a combination of canadian capital quickly organized and petitioned for the same privileges.!!
it was my reports from the north which chiefly induced people to buy,data/l2arctic/ABA/wav/arctic_a0024.wav,ABA,Arabic,M,it was my reports from the north which chiefly induced people to buy.!!
i was about to do this when cooler judgment prevailed,data/l2arctic/ABA/wav/arctic_a0025.wav,ABA,Arabic,M,i was about to do this when cooler judgment prevailed.!!
it occurred to me that there would have to be an accounting,data/l2arctic/ABA/wav/arctic_a0026.wav,ABA,Arabic,M,it occurred to me that there would have to be an accounting
to my surprise he began to show actual enthusiasm in my favor,data/l2arctic/ABA/wav/arctic_a0027.wav,ABA,Arabic,M,"to my surprise, he began to show actual enthusiasm in my favor."
robbery bribery fraud,data/l2arctic/ABA/wav/arctic_a0028.wav,ABA,Arabic,M,"robbery, bribery, fraud."
their forces were already moving into the north country,data/l2arctic/ABA/wav/arctic_a0029.wav,ABA,Arabic,M,their forces were already moving into the north country.
i had faith in them,data/l2arctic/ABA/wav/arctic_a0030.wav,ABA,Arabic,M,i had faith in them.
they were three hundred yards apart,data/l2arctic/ABA/wav/arctic_a0031.wav,ABA,Arabic,M,they were 300 yards apart.
since then some mysterious force has been fighting us at every step,data/l2arctic/ABA/wav/arctic_a0032.wav,ABA,Arabic,M,"since then, some maestry's force has been fighting us at every step."
he unfolded a long typewritten letter and handed it to gregson,data/l2arctic/ABA/wav/arctic_a0033.wav,ABA,Arabic,M,he unfolded a long thai-britain letter and handed it to gregson.
he stopped and philip nodded at the horrified question in his eyes,data/l2arctic/ABA/wav/arctic_a0035.wav,ABA,Arabic,M,he stopped and flip nodded at the horrified question in his eyes.!!!
she turned in at the hotel,data/l2arctic/ABA/wav/arctic_a0036.wav,ABA,Arabic,M,she turned in at the hotel.!!!
i was the only one who remained sitting,data/l2arctic/ABA/wav/arctic_a0037.wav,ABA,Arabic,M,i was the only one who remained sitting.!!!
we will have to watch our chances,data/l2arctic/ABA/wav/arctic_a0038.wav,ABA,Arabic,M,we will have to watch our chances.!!!
the ship should be in within a week or ten days,data/l2arctic/ABA/wav/arctic_a0039.wav,ABA,Arabic,M,the ship should be in within a week or 10 days.!!!
i suppose you wonder why she is coming up here,data/l2arctic/ABA/wav/arctic_a0040.wav,ABA,Arabic,M,i suppose you wonder why she is coming up here.!!!
meanwhile ill go out to breathe a spell,data/l2arctic/ABA/wav/arctic_a0041.wav,ABA,Arabic,M,meanwhile i'll go out to breathe a spell.!!!
how could he explain his possession of the sketch,data/l2arctic/ABA/wav/arctic_a0042.wav,ABA,Arabic,M,how could he explain his position of the sketch?!!!
it seemed nearer to him since he had seen and talked with gregson,data/l2arctic/ABA/wav/arctic_a0043.wav,ABA,Arabic,M,it seemed nearer to him since he had seen and talked with crikson.
her own betrayal of herself was like a tonic to philip,data/l2arctic/ABA/wav/arctic_a0044.wav,ABA,Arabic,M,her own betrayal of herself was like a tonic to flip.
he moved away as quietly as he had come,data/l2arctic/ABA/wav/arctic_a0045.wav,ABA,Arabic,M,he moved away as quietly as he had come.
the girl faced him her eyes shining with sudden fear,data/l2arctic/ABA/wav/arctic_a0046.wav,ABA,Arabic,M,"the girl faced him, her eyes shining with sudden fear."
close beside him gleamed the white fangs of the wolf dog,data/l2arctic/ABA/wav/arctic_a0047.wav,ABA,Arabic,M,close beside him gleamed the white fangs of the wolf dog.
he looked at the handkerchief more closely,data/l2arctic/ABA/wav/arctic_a0048.wav,ABA,Arabic,M,he looked at the handkerchief more closely.
gregson was asleep when he reentered the cabin,data/l2arctic/ABA/wav/arctic_a0049.wav,ABA,Arabic,M,gregson was asleep when he re-entered the cabin.
in spite of their absurdity the words affected philip curiously,data/l2arctic/ABA/wav/arctic_a0050.wav,ABA,Arabic,M,"in spite of their absurdity, the words affected philip curiously."
it was a curious coincidence,data/l2arctic/ABA/wav/arctic_a0052.wav,ABA,Arabic,M,it was a curious coincidence.
suddenly his fingers closed tightly over the handkerchief,data/l2arctic/ABA/wav/arctic_a0053.wav,ABA,Arabic,M,"suddenly, his fingers closed tightly over the handkerchief."
there was nothing on the rock,data/l2arctic/ABA/wav/arctic_a0054.wav,ABA,Arabic,M,there was nothing on the rock.
philip stood undecided his ears strained to catch the slightest sound,data/l2arctic/ABA/wav/arctic_a0055.wav,ABA,Arabic,M,"philip stood undecided, his ears strained to catch the slightest sound."
pearces little eyes were fixed on him shrewdly,data/l2arctic/ABA/wav/arctic_a0056.wav,ABA,Arabic,M,perseus' little eyes were fixed on him shrewdly.
i have no idea replied philip,data/l2arctic/ABA/wav/arctic_a0057.wav,ABA,Arabic,M,i have no idea replied flip.
i came for information more out of curiosity than anything else,data/l2arctic/ABA/wav/arctic_a0058.wav,ABA,Arabic,M,i came for information more out of curiosity than anything else.
his immaculate appearance was gone,data/l2arctic/ABA/wav/arctic_a0059.wav,ABA,Arabic,M,his immaculate appearance was gone.
anyway no one saw her like that,data/l2arctic/ABA/wav/arctic_a0060.wav,ABA,Arabic,M,"anyway, no one saw her like that.!!!"
philip snatched at the letter which gregson held out to him,data/l2arctic/ABA/wav/arctic_a0061.wav,ABA,Arabic,M,philip snatched the letter which gregson held out to him.!!!
the men stared into each others face,data/l2arctic/ABA/wav/arctic_a0062.wav,ABA,Arabic,M,the men stared into each other's face.!!!
yes it was a man who asked a stranger,data/l2arctic/ABA/wav/arctic_a0063.wav,ABA,Arabic,M,"yes, it was a man who asked a stranger.!!!"
the fourth and fifth days passed without any developments,data/l2arctic/ABA/wav/arctic_a0064.wav,ABA,Arabic,M,the fourth and fifth days passed without any developments.!!!
they closed now until his fingers were like cords of steel,data/l2arctic/ABA/wav/arctic_a0065.wav,ABA,Arabic,M,they closed now until his fingers were like cords of steel.!!!
he saw jeanne falter for a moment,data/l2arctic/ABA/wav/arctic_a0066.wav,ABA,Arabic,M,he saw jn felter for a moment!!!
surely i will excuse you she cried,data/l2arctic/ABA/wav/arctic_a0067.wav,ABA,Arabic,M,"surely, i will excuse you. she cried.!!!"
from that moment his friendship for belize turns to hatred and jealousy,data/l2arctic/ABA/wav/arctic_a0017.wav,ABA,Arabic,M,"from that moment, his friendship for blythe turned to hatred and jealousy.!"
men of seldens stamp dont stop at women and children,data/l2arctic/ABA/wav/arctic_a0034.wav,ABA,Arabic,M,men of selden's stamp don't stop at women and children.!
the lace was of a delicate ivory color faintly tinted with yellow,data/l2arctic/ABA/wav/arctic_a0051.wav,ABA,Arabic,M,"the lace was of a delicate ivory color, faintly tinted with yellow.!"
in a flash philip followed its direction,data/l2arctic/ABA/wav/arctic_a0068.wav,ABA,Arabic,M,in a flash flip followed its direction.!
a trickle of fresh blood ran over his face,data/l2arctic/ABA/wav/arctic_a0085.wav,ABA,Arabic,M,a trickle of fresh blood ran over his face.!
he will follow us soon,data/l2arctic/ABA/wav/arctic_a0102.wav,ABA,Arabic,M,he will follow us soon.!
jeanne was turning the bow shoreward,data/l2arctic/ABA/wav/arctic_a0119.wav,ABA,Arabic,M,jane was turning the pows short word!
about him everywhere were the evidences of luxury and of age,data/l2arctic/ABA/wav/arctic_a0136.wav,ABA,Arabic,M,"about him, everywhere, were the evidence of luxury and of age.!"
macdougall tapped his forehead suspiciously with a stubby forefinger,data/l2arctic/ABA/wav/arctic_a0153.wav,ABA,Arabic,M,mcdougall tapped his forehead suspiciously with a stabby forefinger.
and when you come back in a few days bring eileen,data/l2arctic/ABA/wav/arctic_a0171.wav,ABA,Arabic,M,"and when you come back in a few days, bring lean."
two gigantic owls were tearing at the carcass,data/l2arctic/ABA/wav/arctic_a0188.wav,ABA,Arabic,M,two gigantic holes were clearing at the carcass.
from now on were pals,data/l2arctic/ABA/wav/arctic_a0205.wav,ABA,Arabic,M,from now on we are pals.
what part of the united states is your home,data/l2arctic/ABA/wav/arctic_a0222.wav,ABA,Arabic,M,what part of the united states is your home?
he cried in such genuine dismay that she broke into hearty laughter,data/l2arctic/ABA/wav/arctic_a0239.wav,ABA,Arabic,M,he cried in such a genuine dismay that she broke into a hearty laughter.
see the length of the body and that elongated neck,data/l2arctic/ABA/wav/arctic_a0256.wav,ABA,Arabic,M,see the length of the body and that elongated neck.
it was his intention to return to eileen and her father,data/l2arctic/ABA/wav/arctic_a0069.wav,ABA,Arabic,M,it was his intention to return to elin and her father.
he would first hunt up gregson and begin his work there,data/l2arctic/ABA/wav/arctic_a0070.wav,ABA,Arabic,M,he would first hunt up gregson and begin his work there.
what was the object of your little sensation,data/l2arctic/ABA/wav/arctic_a0071.wav,ABA,Arabic,M,what was the object of your little sensation?
but who was eileens double,data/l2arctic/ABA/wav/arctic_a0072.wav,ABA,Arabic,M,but who was elene's double?
the promoters eyes were heavy with little puffy bags under them,data/l2arctic/ABA/wav/arctic_a0073.wav,ABA,Arabic,M,the broometers' eyes were heavy with little puffy pugs under them.
and now down there eileen was waiting for him,data/l2arctic/ABA/wav/arctic_a0074.wav,ABA,Arabic,M,"and now, down there, elin was waiting for him."
there has been a change she interrupted him,data/l2arctic/ABA/wav/arctic_a0075.wav,ABA,Arabic,M,there has been a change. she interrupted him.
the gray eyes faltered the flush deepened,data/l2arctic/ABA/wav/arctic_a0076.wav,ABA,Arabic,M,"the grey eyes filtered, the flesh deepened."
it is the fire partly she said,data/l2arctic/ABA/wav/arctic_a0077.wav,ABA,Arabic,M,"it is the fire, partly, she said."
then and at supper he tried to fathom her,data/l2arctic/ABA/wav/arctic_a0078.wav,ABA,Arabic,M,"then, at supper, he tried to fathom her."
it was a large canoe,data/l2arctic/ABA/wav/arctic_a0079.wav,ABA,Arabic,M,it was a large canal.
what if jeanne failed him,data/l2arctic/ABA/wav/arctic_a0080.wav,ABA,Arabic,M,what if jean failed him?
what if she did not come to the rock,data/l2arctic/ABA/wav/arctic_a0081.wav,ABA,Arabic,M,what if she didn't come to the rock?
his face was streaming with blood,data/l2arctic/ABA/wav/arctic_a0082.wav,ABA,Arabic,M,his face was streaming with blood.
a shadow was creeping over pierres eyes,data/l2arctic/ABA/wav/arctic_a0083.wav,ABA,Arabic,M,a shadow was creeping over pierre's eyes.
scarcely had he uttered the name when pierres closing eyes shot open,data/l2arctic/ABA/wav/arctic_a0084.wav,ABA,Arabic,M,scarcely had he uttered the name when perry's closing eyes shut open.
death had come with terrible suddenness,data/l2arctic/ABA/wav/arctic_a0086.wav,ABA,Arabic,M,death had come with terrible sadness.
philip bent lower and stared into the face of the dead man,data/l2arctic/ABA/wav/arctic_a0087.wav,ABA,Arabic,M,flipped it lower and stared into the face of the dead man.
he made sure that the magazine was loaded and resumed his paddling,data/l2arctic/ABA/wav/arctic_a0088.wav,ABA,Arabic,M,he made sure that the magazine was loaded and resumed his puddling.
the night glow was treacherous to shoot by,data/l2arctic/ABA/wav/arctic_a0089.wav,ABA,Arabic,M,the night glue was treacherous to shoot by.
the singing voice approached rapidly,data/l2arctic/ABA/wav/arctic_a0090.wav,ABA,Arabic,M,the singing voice approached rapidly.
